descriptor,cluster_class,scaler,n_clusters,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,KMeans,norm,2,1.770632900096809,0.7448929565215732
efficientnet-b7,KMeans,norm,3,1.607793235898015,0.7980159923912735
efficientnet-b7,KMeans,norm,4,316.73959711366666,7.7630711145563165
efficientnet-b7,KMeans,norm,5,235.34402771869648,6.61131155998483
efficientnet-b7,KMeans,norm,6,323.86738439497435,7.066529807098096
efficientnet-b7,KMeans,norm,7,260.4342005974439,6.279510430882915
efficientnet-b7,KMeans,norm,8,297.84517330301776,6.501184646281425
efficientnet-b7,KMeans,norm,9,260.31979218980143,5.936423585010615
efficientnet-b7,KMeans,norm,10,106.21991558808152,3.6032474004885167
efficientnet-b7,KMeans,norm,11,299.26600708874,6.622365078717084
efficientnet-b7,KMeans,norm,12,149.50469469989926,3.993469286762108
efficientnet-b7,KMeans,norm,13,249.11379330578285,5.765681877429335
efficientnet-b7,KMeans,norm,14,225.57554040747465,5.592468164810207
efficientnet-b7,KMeans,norm,15,182.68703801919187,4.820007906991491
efficientnet-b7,KMeans,norm,16,198.4852814030535,4.932587919016295
efficientnet-b7,KMeans,norm,17,160.6584333809813,4.246983271442705
efficientnet-b7,KMeans,norm,18,125.06115473826898,3.5593546058653476
efficientnet-b7,KMeans,norm,19,186.8349174162989,4.8498073756703635
efficientnet-b7,KMeans,norm,20,136.7479996077478,3.70302771598064
efficientnet-b7,KMeans,norm,21,216.22814588125567,5.551393935041582
efficientnet-b7,KMeans,norm,22,159.83684830680934,4.118235592881526
efficientnet-b7,KMeans,norm,23,138.14110554808582,3.5921018107852314
efficientnet-b7,KMeans,norm,24,202.65254374862695,5.189376923640844
efficientnet-b7,KMeans,norm,25,144.23014702226305,3.7554569646667413
efficientnet-b7,KMeans,norm,26,149.84812166180723,3.9350551838226404
efficientnet-b7,KMeans,norm,27,99.54862450112367,3.0371985508187453
efficientnet-b7,KMeans,norm,28,172.3928791516003,4.614873667139898
efficientnet-b7,KMeans,norm,29,178.55834001317618,4.641386013225543
efficientnet-b7,KMeans,norm,30,159.74622070468274,4.305109108590563
efficientnet-b7,KMeans,standard,2,1.7577322631622905,0.7475960412225652
efficientnet-b7,KMeans,standard,3,1.6186031193278385,0.7924470014125852
efficientnet-b7,KMeans,standard,4,191.1808947064899,7.7632287616330675
efficientnet-b7,KMeans,standard,5,135.9696601916359,8.463954634549333
efficientnet-b7,KMeans,standard,6,227.7973878088893,8.395665564887887
efficientnet-b7,KMeans,standard,7,188.74478339822446,7.443299347180953
efficientnet-b7,KMeans,standard,8,225.90199116192593,7.540408037744816
efficientnet-b7,KMeans,standard,9,248.5240330486288,7.650221147330394
efficientnet-b7,KMeans,standard,10,126.59384484058755,5.557777346071727
efficientnet-b7,KMeans,standard,11,159.10131555440864,6.0451122654402445
efficientnet-b7,KMeans,standard,12,141.53424532316785,5.680195715870215
efficientnet-b7,KMeans,standard,13,169.64267189355036,5.812280401424757
efficientnet-b7,KMeans,standard,14,215.90514229894129,6.345342649351166
efficientnet-b7,KMeans,standard,15,226.20078309137585,6.513581925439271
efficientnet-b7,KMeans,standard,16,211.2421443826533,6.134218731113184
efficientnet-b7,KMeans,standard,17,175.02912231563525,5.374497272049128
efficientnet-b7,KMeans,standard,18,91.83169488240796,4.049902810071557
efficientnet-b7,KMeans,standard,19,172.1337445863424,5.356511237137453
efficientnet-b7,KMeans,standard,20,163.4927896111084,5.322723777318639
efficientnet-b7,KMeans,standard,21,102.31944124336569,4.012782448361037
efficientnet-b7,KMeans,standard,22,117.10854949241664,4.017887578910427
efficientnet-b7,KMeans,standard,23,110.50558749621518,3.8816682279300863
efficientnet-b7,KMeans,standard,24,120.57490670791601,4.211008033546578
efficientnet-b7,KMeans,standard,25,101.63667258233995,3.8581968726705
efficientnet-b7,KMeans,standard,26,124.59206770332717,4.302500672369143
efficientnet-b7,KMeans,standard,27,108.12680585187404,3.7886342425282176
efficientnet-b7,KMeans,standard,28,117.15274255134372,3.9411800065862264
efficientnet-b7,KMeans,standard,29,174.11248116848574,5.27837480615832
efficientnet-b7,KMeans,standard,30,96.13481592793657,3.5136817204034716
efficientnet-b7,AgglomerativeClustering,norm,2,3.0939251661661484,0.5635128146930622
efficientnet-b7,AgglomerativeClustering,norm,3,2.9857189214192354,0.57738504348809
efficientnet-b7,AgglomerativeClustering,norm,4,2.963913344481597,0.578044201751219
efficientnet-b7,AgglomerativeClustering,norm,5,2.890960422875598,0.5881179229870345
efficientnet-b7,AgglomerativeClustering,norm,6,2.852143883914568,0.5906936859530078
efficientnet-b7,AgglomerativeClustering,norm,7,2.821141701686378,0.5931282632844994
efficientnet-b7,AgglomerativeClustering,norm,8,2.8092475505849763,0.5938669327860253
efficientnet-b7,AgglomerativeClustering,norm,9,2.790848156082187,0.5954359440531937
efficientnet-b7,AgglomerativeClustering,norm,10,2.7973457939377138,0.5946133485892924
efficientnet-b7,AgglomerativeClustering,norm,11,2.7946701536202627,0.5946935597772405
efficientnet-b7,AgglomerativeClustering,norm,12,2.7740513760179284,0.5976034672345688
efficientnet-b7,AgglomerativeClustering,norm,13,2.764010140563691,0.5984403868404324
efficientnet-b7,AgglomerativeClustering,norm,14,2.7582312984093926,0.5988717036713954
efficientnet-b7,AgglomerativeClustering,norm,15,2.7465709228308754,0.5999680141812325
efficientnet-b7,AgglomerativeClustering,norm,16,2.73898386251051,0.6006505370810703
efficientnet-b7,AgglomerativeClustering,norm,17,2.729726678236435,0.6015427791558356
efficientnet-b7,AgglomerativeClustering,norm,18,2.724175521779187,0.6020451207936849
efficientnet-b7,AgglomerativeClustering,norm,19,2.7167865656771224,0.6027676344667663
efficientnet-b7,AgglomerativeClustering,norm,20,2.709448039217547,0.6035008782116517
efficientnet-b7,AgglomerativeClustering,norm,21,2.700861000621098,0.604569289103749
efficientnet-b7,AgglomerativeClustering,norm,22,2.6947998188499582,0.6051746249433472
efficientnet-b7,AgglomerativeClustering,norm,23,2.693674471186524,0.605236811472994
efficientnet-b7,AgglomerativeClustering,norm,24,2.6877226876682765,0.6058481447495178
efficientnet-b7,AgglomerativeClustering,norm,25,2.682696932942165,0.6063603436002141
efficientnet-b7,AgglomerativeClustering,norm,26,2.6781744496641675,0.6068218550372304
efficientnet-b7,AgglomerativeClustering,norm,27,2.6713479838435417,0.6077327582657132
