descriptor,cluster_class,scaler,n_clusters,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,KMeans,norm,2,1.770632900096809,0.7448929565215732
efficientnet-b7,KMeans,norm,3,1.607793235898015,0.7980159923912735
efficientnet-b7,KMeans,norm,4,316.7330782289632,7.763102394432971
efficientnet-b7,KMeans,norm,5,235.34390878141468,6.61148672918681
efficientnet-b7,KMeans,norm,6,323.8518877781067,7.067327781720402
efficientnet-b7,KMeans,norm,7,260.4325666060895,6.279769313560786
efficientnet-b7,KMeans,norm,8,297.85370936658296,6.501503839965867
efficientnet-b7,KMeans,norm,9,260.31380288887567,5.936834612832708
efficientnet-b7,KMeans,norm,10,106.2222067500278,3.6032854315061336
efficientnet-b7,KMeans,norm,11,299.2787585604972,6.61978665460932
efficientnet-b7,KMeans,norm,12,149.50596718741085,3.9935754013163263
efficientnet-b7,KMeans,norm,13,249.10116079729983,5.766181470640716
efficientnet-b7,KMeans,norm,14,225.60837420506772,5.592013465149433
efficientnet-b7,KMeans,norm,15,182.71326465800075,4.818581547398761
efficientnet-b7,KMeans,standard,2,1.7577322631622905,0.7475960412225652
efficientnet-b7,KMeans,standard,3,1.6186031193278385,0.7924470014125852
efficientnet-b7,KMeans,standard,4,191.1808947064899,7.7632287616330675
efficientnet-b7,KMeans,standard,5,135.9696601916359,8.463954634549333
efficientnet-b7,KMeans,standard,6,227.78453773006444,8.39623537476901
efficientnet-b7,KMeans,standard,7,188.75138954342222,7.443867554519892
efficientnet-b7,KMeans,standard,8,225.8982411028413,7.539990830962582
efficientnet-b7,KMeans,standard,9,248.52411756683395,7.649868731988137
efficientnet-b7,KMeans,standard,10,126.5948727587948,5.557635324558768
efficientnet-b7,KMeans,standard,11,159.1025631645408,6.044719405872986
efficientnet-b7,KMeans,standard,12,141.53560894519012,5.679421044729722
efficientnet-b7,KMeans,standard,13,169.64051685379764,5.8129159470533445
efficientnet-b7,KMeans,standard,14,215.90082136833203,6.3443148006382755
efficientnet-b7,KMeans,standard,15,226.19925070720308,6.512107760289326
efficientnet-b7,AgglomerativeClustering,norm,2,3.0939251661661484,0.5635128146930622
efficientnet-b7,AgglomerativeClustering,norm,3,2.9857189214192354,0.57738504348809
efficientnet-b7,AgglomerativeClustering,norm,4,2.963913344481597,0.578044201751219
efficientnet-b7,AgglomerativeClustering,norm,5,2.890960422875598,0.5881179229870345
efficientnet-b7,AgglomerativeClustering,norm,6,2.852143883914568,0.5906936859530078
efficientnet-b7,AgglomerativeClustering,norm,7,2.821141701686378,0.5931282632844994
efficientnet-b7,AgglomerativeClustering,norm,8,2.8092475505849763,0.5938669327860253
efficientnet-b7,AgglomerativeClustering,norm,9,2.790848156082187,0.5954359440531937
efficientnet-b7,AgglomerativeClustering,norm,10,2.7973457939377138,0.5946133485892924
efficientnet-b7,AgglomerativeClustering,norm,11,2.7946701536202627,0.5946935597772405
efficientnet-b7,AgglomerativeClustering,norm,12,2.7740513760179284,0.5976034672345688
efficientnet-b7,AgglomerativeClustering,norm,13,2.764010140563691,0.5984403868404324
efficientnet-b7,AgglomerativeClustering,norm,14,2.7582312984093926,0.5988717036713954
efficientnet-b7,AgglomerativeClustering,norm,15,2.7465709228308754,0.5999680141812325
efficientnet-b7,AgglomerativeClustering,standard,2,3.0691133906201458,0.565766858290572
efficientnet-b7,AgglomerativeClustering,standard,3,2.9745654527551437,0.5779535837793989
efficientnet-b7,AgglomerativeClustering,standard,4,2.9595754685186395,0.5782359031537314
efficientnet-b7,AgglomerativeClustering,standard,5,2.902709543417336,0.585640271729711
efficientnet-b7,AgglomerativeClustering,standard,6,2.859542515481881,0.5896506403850311
efficientnet-b7,AgglomerativeClustering,standard,7,2.82679964182255,0.5925691489674901
efficientnet-b7,AgglomerativeClustering,standard,8,2.8067334320533064,0.594089598444085
efficientnet-b7,AgglomerativeClustering,standard,9,2.8135141885171064,0.5931896003638623
efficientnet-b7,AgglomerativeClustering,standard,10,2.805382317502567,0.5937464904677248
efficientnet-b7,AgglomerativeClustering,standard,11,2.8030132803511663,0.5937954110782706
efficientnet-b7,AgglomerativeClustering,standard,12,2.791464822590552,0.5948045717452318
efficientnet-b7,AgglomerativeClustering,standard,13,2.7765151123539535,0.5966824643044135
efficientnet-b7,AgglomerativeClustering,standard,14,2.767216786704049,0.5975070258255831
efficientnet-b7,AgglomerativeClustering,standard,15,2.750800173205283,0.5997540777599516
osnet,KMeans,norm,2,8826.270166532935,4.70485453292597
osnet,KMeans,norm,3,6114.81889977504,5.595879719571976
osnet,KMeans,norm,4,4995.347176963428,5.058352500803689
osnet,KMeans,norm,5,4631.8021938927495,5.064776098480358
osnet,KMeans,norm,6,3782.0217717617293,4.938184605973336
osnet,KMeans,norm,7,3757.829120299893,4.643729061538039
osnet,KMeans,norm,8,3221.996093730329,4.153438639665847
osnet,KMeans,norm,9,3136.90058061832,4.118474515117388
osnet,KMeans,norm,10,2799.042240343566,3.8889855476637303
osnet,KMeans,norm,11,2950.7428235284833,4.048883470051049
osnet,KMeans,norm,12,2793.449914445008,4.099921951336672
osnet,KMeans,norm,13,2533.2001883869243,4.114811330737363
osnet,KMeans,norm,14,2562.0441304569695,3.7825389045467737
osnet,KMeans,norm,15,2502.0882750142564,4.084349972631283
osnet,KMeans,standard,2,1162.7226678842367,7.432555230244498
osnet,KMeans,standard,3,1185.847135505957,9.355114210440307
osnet,KMeans,standard,4,717.125682332305,6.152709253595788
osnet,KMeans,standard,5,1097.2565326006852,7.653743321960967
osnet,KMeans,standard,6,1129.5461761485903,7.204712952011735
osnet,KMeans,standard,7,1104.912385777167,7.131580276726005
osnet,KMeans,standard,8,1158.0951165971105,6.071015655104405
osnet,KMeans,standard,9,1079.2069260924484,6.413650561860354
osnet,KMeans,standard,10,1135.2544670971404,5.9316122426928
osnet,KMeans,standard,11,1130.8571856134754,5.844486470965691
osnet,KMeans,standard,12,1006.9679247135781,5.641475934086369
osnet,KMeans,standard,13,1046.0467331069065,5.350139849682636
osnet,KMeans,standard,14,1032.470813481371,4.782816894935129
osnet,KMeans,standard,15,1061.5896978802018,5.1425002472133805
osnet,AgglomerativeClustering,norm,2,5.266365913791487,0.4271868569739798
osnet,AgglomerativeClustering,norm,3,5.3317942541608865,0.4254496556371501
osnet,AgglomerativeClustering,norm,4,5.36098983535401,0.42436581608096235
