descriptor,cluster_class,scaler,n_clusters,cluster_class_params,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,KMeans,norm,2,{'n_clusters': 2},1.770632900096809,0.7448929565215732
efficientnet-b7,KMeans,norm,3,{'n_clusters': 3},1.607793235898015,0.7980159923912735
efficientnet-b7,KMeans,norm,4,{'n_clusters': 4},316.7350938890659,7.763067269617891
efficientnet-b7,KMeans,norm,5,{'n_clusters': 5},235.35436432295757,6.611268117284409
efficientnet-b7,KMeans,norm,6,{'n_clusters': 6},323.8916511856501,7.065968066235004
efficientnet-b7,KMeans,norm,7,{'n_clusters': 7},260.4319731142152,6.2796085622351905
efficientnet-b7,KMeans,norm,8,{'n_clusters': 8},297.84411890376566,6.501494033585291
efficientnet-b7,KMeans,norm,9,{'n_clusters': 9},260.31493659941816,5.93663824816829
efficientnet-b7,KMeans,norm,10,{'n_clusters': 10},106.22177682220315,3.6032978869669092
efficientnet-b7,KMeans,norm,11,{'n_clusters': 11},299.2711760838766,6.621536599594877
efficientnet-b7,KMeans,norm,12,{'n_clusters': 12},149.5050932720755,3.993600820029052
efficientnet-b7,KMeans,norm,13,{'n_clusters': 13},249.10938180027742,5.7659090063839304
efficientnet-b7,KMeans,norm,14,{'n_clusters': 14},225.6173334078563,5.59042688712464
efficientnet-b7,KMeans,norm,15,{'n_clusters': 15},182.72770921619295,4.8186161221311705
efficientnet-b7,KMeans,norm,16,{'n_clusters': 16},198.48627426215137,4.932935265580541
efficientnet-b7,KMeans,norm,17,{'n_clusters': 17},160.66099328031595,4.246689745796584
efficientnet-b7,KMeans,norm,18,{'n_clusters': 18},125.19057201468301,3.5553729345681084
efficientnet-b7,KMeans,norm,19,{'n_clusters': 19},186.83123940224579,4.849902208780128
efficientnet-b7,KMeans,norm,20,{'n_clusters': 20},136.77983017444626,3.7033765287954807
efficientnet-b7,KMeans,norm,21,{'n_clusters': 21},216.28550829195805,5.549925159819296
efficientnet-b7,KMeans,norm,22,{'n_clusters': 22},159.83157129068854,4.118537929721789
efficientnet-b7,KMeans,norm,23,{'n_clusters': 23},138.14363649497753,3.592062757848378
efficientnet-b7,KMeans,norm,24,{'n_clusters': 24},202.65562586142394,5.1893303992486235
efficientnet-b7,KMeans,norm,25,{'n_clusters': 25},144.2415729528244,3.755854340542432
efficientnet-b7,KMeans,norm,26,{'n_clusters': 26},149.84823343241544,3.935092246812793
efficientnet-b7,KMeans,norm,27,{'n_clusters': 27},99.54772189808844,3.0371547796570315
efficientnet-b7,KMeans,norm,28,{'n_clusters': 28},172.37597296677822,4.613781822852935
efficientnet-b7,KMeans,norm,29,{'n_clusters': 29},178.5487904654776,4.641803500551313
efficientnet-b7,KMeans,norm,30,{'n_clusters': 30},159.71650075162245,4.306236249882594
efficientnet-b7,KMeans,standard,2,{'n_clusters': 2},1.7577322631622905,0.7475960412225652
efficientnet-b7,KMeans,standard,3,{'n_clusters': 3},1.6186031193278385,0.7924470014125852
efficientnet-b7,KMeans,standard,4,{'n_clusters': 4},191.1808947064899,7.7632287616330675
efficientnet-b7,KMeans,standard,5,{'n_clusters': 5},135.9873110978764,8.46434734491243
efficientnet-b7,KMeans,standard,6,{'n_clusters': 6},227.7739573283385,8.396782834835657
efficientnet-b7,KMeans,standard,7,{'n_clusters': 7},188.70686188496035,7.444364280057606
