descriptor,cluster_class,cluster_class_params,labels,n_clusters,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,KMeans,{'n_clusters': 6},[5 4 0 ... 2 4 5],6,786.3268688806653,9.153947140936124
efficientnet-b7,AgglomerativeClustering,{'n_clusters': 2},[0 0 0 ... 0 0 0],2,3.223270292638899,0.5521035477515801
efficientnet-b7,DBSCAN,"{'eps': 2, 'min_samples': 256}",[0 0 0 ... 0 0 0],2,251.98036521964193,10.569927857280403
osnet,KMeans,{'n_clusters': 2},[0 0 0 ... 0 0 0],2,18166.934275728,4.63668539241745
osnet,AgglomerativeClustering,{'n_clusters': 7},[0 0 0 ... 0 0 0],7,5.312394190663221,0.4382469419094252
osnet,DBSCAN,"{'eps': 1, 'min_samples': 256}",[0 0 0 ... 0 0 0],5,1630.7921766966795,4.123875556225014
osnet,DBSCAN,"{'eps': 1, 'min_samples': 16}",[0 0 0 ... 0 0 0],25,202.31756085793754,2.1793346508298055
vdc_color,KMeans,{'n_clusters': 2},[1 1 1 ... 1 1 1],2,18384.36862136638,4.6848579596798166
vdc_color,KMeans,{'n_clusters': 15},[12 12  1 ...  4 12 12],15,3844.032427900788,4.860145612919059
vdc_color,KMeans,{'n_clusters': 25},[ 0  0  6 ... 21  0  0],25,2825.878685896191,4.635699727209168
vdc_color,AgglomerativeClustering,{'n_clusters': 2},[0 0 0 ... 0 0 0],2,5.741954317273223,0.4111149169942437
vdc_color,DBSCAN,"{'eps': 1, 'min_samples': 256}",[0 0 0 ... 0 0 0],2,1389.2003829063444,7.435326452977367
vdc_type,KMeans,{'n_clusters': 2},[1 1 1 ... 0 0 0],2,9598.514215389296,6.437794108833884
vdc_type,KMeans,{'n_clusters': 29},[19 19  9 ...  8  6  6],29,2117.988787173464,4.411279949746054
vdc_type,AgglomerativeClustering,{'n_clusters': 2},[0 0 0 ... 0 0 0],2,33.29216527728334,0.17001742473637005
vdc_type,DBSCAN,"{'eps': 1, 'min_samples': 256}",[0 0 0 ... 0 0 0],2,1216.910254805032,8.62698771688799
