descriptor,cluster_class,scaler,n_clusters,cluster_class_params,calinski_harabasz_score,davies_bouldin_score
efficientnet-b7,DBSCAN,norm,1,"{'eps': 1, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 8}",74.64579187666742,20.025296856317944
efficientnet-b7,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 8}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 1, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 16}",74.63042929584411,20.0289289425487
efficientnet-b7,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 16}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 1, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 32}",74.61773763189875,20.032258276401006
efficientnet-b7,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 16, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 20, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 24, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 32, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 48, 'min_samples': 32}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 1, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,norm,2,"{'eps': 2, 'min_samples': 64}",74.63267392384273,20.034367832517265
efficientnet-b7,DBSCAN,norm,1,"{'eps': 8, 'min_samples': 64}",,
efficientnet-b7,DBSCAN,norm,1,"{'eps': 12, 'min_samples': 64}",,
